,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Laguna,1,US,1591111708,60,38.42,-121.42,73.0,5.48
1,Adrar,96,MR,1591111709,15,20.5,-10.07,103.5,2.04
2,La Ronge,75,CA,1591111593,51,55.1,-105.28,59.0,13.87
3,Mahébourg,75,MU,1591111711,94,-20.41,57.7,71.6,12.75
4,Busselton,0,AU,1591111713,71,-33.65,115.33,52.0,6.11
5,Hermanus,100,ZA,1591111714,83,-34.42,19.23,63.0,13.53
6,Kapaa,72,US,1591111715,59,22.08,-159.32,72.0,6.55
7,Khatanga,99,RU,1591111716,49,71.97,102.5,53.29,10.42
8,Rikitea,100,PF,1591111718,76,-23.12,-134.97,75.81,1.41
9,Qaanaaq,94,GL,1591111719,92,77.48,-69.36,28.62,2.13
10,Paamiut,100,GL,1591111720,96,61.99,-49.67,39.94,4.59
11,Vaini,20,TO,1591111721,88,-21.2,-175.2,77.0,6.93
12,Ushuaia,75,AR,1591111722,84,-54.8,-68.3,39.2,31.09
13,Hilo,20,US,1591111457,83,19.73,-155.09,71.6,4.7
14,Gangarampur,0,IN,1591111725,38,25.4,88.52,90.37,5.59
15,Mataura,92,NZ,1591111726,84,-46.19,168.86,46.06,4.23
16,Kingsville,75,US,1591111727,78,27.52,-97.86,82.4,6.93
17,Albany,100,US,1591111720,70,42.6,-73.97,60.01,1.45
18,Sulangan,80,PH,1591111730,65,11.14,123.72,85.93,6.93
19,Geraldton,40,AU,1591111731,42,-28.77,114.6,66.2,12.75
20,Port Alfred,90,ZA,1591111732,78,-33.59,26.89,66.0,4.0
21,Chui,20,UY,1591111734,68,-33.7,-53.46,57.06,6.2
22,Ostrovnoy,83,RU,1591111735,63,68.05,39.51,59.47,9.37
23,George Town,20,MY,1591111681,83,5.41,100.34,84.2,1.79
24,Āsosa,71,ET,1591111738,73,10.07,34.53,75.9,3.0
25,Ahipara,100,NZ,1591111739,86,-35.17,173.17,54.99,5.28
